1,one,un
arccsc(θ),arccosecant,arccosécante
sinh(θ),hyperbolic sine,sinus hyperbolique
cosh(θ),hyperbolic cosine,cosinus hyperbolique
tanh(θ),hyperbolic tangent,tangente hyperbolique
coth(θ),hyperbolic cotangent,cotangente hyperbolique
sech(θ),hyperbolic secant,sécante hyperbolique
csch(θ),hyperbolic cosecant,cosécante hyperbolique
arcsinh(θ),hyperbolic arcsine,arcsinus hyperbolique
arccosh(θ),hyperbolic arccosine,arccosinus hyperbolique
arctanh(θ),hyperbolic arctangent,arctangente hyperbolique
arccoth(θ),hyperbolic arccotangent,arccotangente hyperbolique
arcsech(θ),hyperbolic arcsecant,arcsécante hyperbolique
arccsch(θ),hyperbolic arccosecant,arccosécante hyperbolique
sinc(θ),cardinal sine,sinus cardinale
cosc(θ),cardinal cosine,cosinus cardinale
tanc(θ),cardinal tangent,tangente cardinale
cotc(θ),cardinal cotangent,cotangente cardinale
secc(θ),cardinal secant,sécante cardinale
cscc(θ),cardinal cosecant,cosecant cardinale
arcsinc(θ),cardinal arcsine,arcsinus cardinale
arccosc(θ),cardinal arccosine,arccosinus cardinale
arctanc(θ),cardinal arctangent,arctangente cardinale
arccotc(θ),cardinal arccotangent,arccotangente cardinale
arcsecc(θ),cardinal arcsecant,arcsécante cardinale
arccscc(θ),cardinal arccosecant,arccosécante caridnale
sinhc(θ),cardinal hyperbolic sine,sinus hyperbolique cardinale
coshc(θ),cardinal hyperbolic cosine,cosinus hyperbolique cardinale
tanhc(θ),cardinal hyperbolic tangent,tangente hyperbolique cardinale
cothc(θ),cardinal hyperbolic cotangent,cotangente hyperbolique cardinale
sechc(θ),cardinal hyperbolic secant,sécante hyperbolique cardinale
cschc(θ),cardinal hyperbolic cosecant,cosécante hyperbolique cardinale
arcsinhc(θ),cardinal hyperbolic arcsine,arcsinus hyperbolique cardinale
arccoshc(θ),cardinal hyperbolic arccosine,arccosinus hyperbolique cardinale
arctanhc(θ),cardinal hyperbolic arctangent,arctangente hyperbolique cardinale
arccothc(θ),cardinal hyperbolic arccotangent,arccotangente hyperbolique cardinale
arcsechc(θ),cardinal hyperbolic arcsecant,arcsécante hyperbolique cardinale
arccschc(θ),cardinal hyperbolic arccosecant,arccosécante hyperbolique cardinale
ver(θ),versine,versinus
vcs(θ),vercosine,vercosinus
cvr(θ),coversine,coversinus
cvc(θ),covercosine,covercosinus
xsc(θ),exsecant,exsécante
xcs(θ),excosecant,excosécante
arcver(θ),arcversine,arcversinus
arcvcs(θ),arcvercosine,arcvercosinus
arccvr(θ),arccoversine,arccoversinus
arccvc(θ),arccovercosine,arccovercosinus
arcxsc(θ),arcexsecant,arcexsécante
arcxcs(θ),arcexcosecant,arcexcosécante
hver(θ),haversine,haversinus
hvcs(θ),havercosine,havercosinus
hcvr(θ),hacoversine,hacoversinus
hcvc(θ),hacovercosine,hacovercosinus
archver(θ),archaversine,archaversinus
archvcs(θ),archavercosine,archavercosinus
archcvr(θ),archacoversine,archacoversinus
archcvc(θ),archacovercosine,archacovercosins
Si(θ),integral sine,sinus intégrale
Ci(θ),integral cosine,cosinus intégrale
Ti(θ),integral tangent,tangente intégrale
Shi(θ),integral hyperbolic sine,sinus hyperbolique intégrale
Chi(θ),integral hyperbolic cosine,cosinus hyperbolique intégrale
Thi(θ),integral hyperbolic tangent,tangente hyperbolique intégrale
arcSi(θ),integral arcsine,arcsinus intégrale
arcCi(θ),integral arccosine,arccosinus intégrale
arcTi(θ),integral arctangent,arctangente intégrale
arcShi(θ),integral hyperbolic arcsine,sinus hyperbolique intégrale
arcChi(θ),integral hyperbolic arccosine,cosinus hyperbolique intégrale
arcThi(θ),integral hyperbolic arctangent,tangente hyperbolique intégrale
crd(θ),chord,corde
ccd(θ),cochord,cocorde
acrd(θ),antichord,anticorde
accd(θ),anticochord,anticocorde
f'(x),derivative,dérivé
f^-1(x),inverse,inverse
ln(x),natural logarithm,logarithme naturel
log(x),decimal logarithm,logarithme décimal
x^y,powers,puissance
x^^y,tetration,tétration
√,square root,racine carré
x²,square,carré
|x|,modulus function,valeur absolue
⌊x⌋,floor function,valeur plancher
⌈x⌉,ceiling function,valeur plafond
sgn(x),sign function,fonction signe
π(x),prime counting function,fonction de comptage des nombres premiers
ζ(s),riemann zeta function,fonction zêta de riemann
Γ(z),gamma function,fonction gamma
"lcm(a,b)",least common multiple,plus petit commun multiple
"gcd(a,b)",greatest common divisor,plus grand commun diviseur
Li(x),li function,f fonction
𝒫(A),power set,ensemble des sous-ensembles
Re(z),real part,partie réelle
Im(z),imaginary part,partie imaginaire
Arg(z),argument,argument
ψ(z),digamma function,fonction digamma
"C(n,k)",n choose k,n choisir k
⨄,disjoint union,union disjointe
det(A),determinant,déterminant
E[X],expectation,espérance
Var(X),variance,variance
"Cov(X,Y)",covariance,covariance
φ(n),euler totient function,fonction indicatrice d'euler
μ(n),möbius function,fonction de möbius
λ(n),carmichael function,fonction de carmichael
ω(n),no of prime factors(distinct),nombre de facteurs premiers (distincts)
Ω(n),no of prime factors,nombre de facteurs premiers
Ai(x),airy function,fonction d'airy
Bi(x),bairy function,fonction de bairy
erf(x),error function,fonction d'erreur
erfc(x),complementary error function,fonction d'erreur complémentaire
Ei(x),exponential integral,fonction intégrale exponentielle
Γ⁻¹(x),inverse gamma function,fonction gamma inverse
ζ'(s),derivative of zeta function,dérivée de la fonction zêta
η(s),dirichlet eta function,fonction eta de dirichlet
β(s),dirichlet beta function,fonction beta de dirichlet
χ(n),dirichlet character,caractère de dirichlet
θ(x),heaviside step function,fonction échelon de heaviside
Θ(x),theta function,fonction thêta
δ(x),dirac delta function,fonction delta de dirac
ψ⁽ⁿ⁾(x),polygamma function,fonction polygamma
"B(x,y)",beta function,fonction beta
Liₙ(x),polylogarithm function,fonction polylogarithm
W(x),lambert w function,fonction w de lambert
E₁(x),exponential integral variant,fonction intégrale exponentielle variante
Si(x),sine integral,fonction intégrale sinus
Ci(x),cosine integral,fonction intégrale cosinus
Ai'(x),derivative of airy ai,derivée de la fonction d'airy ai
Bi'(x),derivative of bairy bi,derivée de la fonction d'bairy bi
Ξ(s),riemann xi function,fonction xi de riemann
Δ(x),discriminant,discriminant
disc(f),discriminant of polynomial f,discriminant du polynôme f
"Res(f,g)",resultant,résultant
Tr(A),trace of a matrix,trace d'une matrice
Ker(A),kernel of a matrix,noyau d'une matrice
Im(A),image of a matrix,image d'une matrice
rank(A),rank of matrix,rank d'une matrice
Span(V),span of vector space,span d'un espace vectoriel
diag(A),diagonal of matrix,diagonale d'une matrice
O(),asymptotic complexity notation,complexité asymptotique
o(),little-o notation,notation petit-o
A²+B²=C²,pythagoras theorem,théorème de pythagore
A²+B²-2ab*cos(c)=C²,law of cosines,théorème d'al-kashi
a^b mod b = a,fermat's little theorem,le petit théorème de fermat
(a+b)(a-b)=a²-b²,difference of squares,différence de carrés
a+b=b+a,community,communité
a+(b+c)=(a+b)+c,assosiativity,assosiativité
a(b+c)=ab+ac,distributivity,distributivité
+,plus,plus
×,times,fois
⋅,cdot,point médiant
−,minus,moins
/,slash,slash
⊕,direct sum,somme directe
⊖,direct difference,soustraction directe
⊙,hadamard product,produit de hadamard
⊘,element-wise division,division élément par élément
∇f,gradient,gradient
⊗,tensor product,produit tensoriel
÷,obelus,obélus
∖,set difference,différence de ensembles
mod,modulus function,modulo
≡ (mod n),congruence mod n,congruence modulo n
"⟨x,y⟩",inner product,produit scalaire
d/dx,derivative,dérivée
∂/∂x,partial derivative,dérivée partielle
∂t,partial derivative with respect to time,dérivée partielle par rapport au temps
∀,for all,pour tout
∃,there exist,il existe
∄,there does not exist,il n'existe pas
!∃,there exist only one,il n'existe qu'un seul
∅,empty set,ensemble vide
∅̸,non-empty set,ensemble non vide
∆,increment,incrément
∇,nabla,nabla
∈,element of,élément de
∉,not an element of,pas un élément de
∋,contains as member of,contient comme membre
∌,does not contain as member of,ne contient pas comme membre
∎,end of proof,cqfd
□,qed,cqfd
lim,limit,limite
limsup,limit superior,limite supérieure
liminf,limit inferior,limite inférieure
∏,product,produit
∐,coproduct,coproduit
∑,sum,somme
∑′,restricted sum,somme restreinte
∏′,restricted product,produit restreint
⋂,intersection of multiple sets,intersection de plusieurs ensembles
⋃,union of multiple sets,union de plusieurs ensembles
⋂̸,disjoint intersection,intersection disjointe
⋃̸,disjoint union,union disjointe
±,plus or minus,plus ou moins
∓,minus or plus,moins ou plus
∗,asterix operator,astérix
∛,cube root,racine cubique
∜,tesseract root,racine tesseract
∝,proportional to,proportionnel à
∞,infinity,infini
∣,divides,divise
∧,and,et
∨,or,ou
∩,intersection,intersection
∪,union,union
∫,integral,intégrale
∮,contour integral,intégrale de contour
∫ₐᵇ f(x) dx,definite integral,intégrale définie
∬,double integral,intégrale double
∭,triple integral,intégrale triple
∫₀^∞,improper integral,intégrale impropre
∬_S,surface integral,intégrale de surface
∭_V,volume integral,intégrale de volume
∴,therefore,donc
∵,because,car
∼,tilde operator,tilde
∿,sine wave,onde sinus
≅,approximately equal to,approximativement égale à
≈,almost equal to,presque égale à
≝,equal by definition,égale par définition
⊤,true,vrai
⇐,reverse implication,implication inverse
≔,defined as,défini comme
≜,definition symbol,symbole de définition
◇,possibility (modal logic),possibilité (logique modale)
≡,identical to,indentique à
≃,homotopy equivalent,homotopiquement équivalent
≇,not isomorphic,non isomorphe
≉,not approximately equal,non approximativement égal
≢,not identical,non identique
≠,not equal,non égal
≪̸,not much less than,non beaucoup moins que
≫̸,not much greater than,non beaucoup plus que
<,less-than,plus petit que
>,greater-than,plus grand que
≤,less-than or equal,plus petit ou égale que
≥,greater-than or equal,plus grand ou égale que
≪,much less-than,beacoup plus petit
≫,much greater-than,beacoup plus grand
⊂,subset of,sous-ensemble de
⊃,superset of,sur-ensemble de
⊆,subset of or equal to,sous-ensemble de ou égale à
⊇,superset of or equal to,sur-ensemble de ou égale à
⊻,xor,ou exclusive
⊼,nand,pas et
⊽,nor,pas ou
¬,negation,négaion
¬¬,double negation,négation double
⇒,implies,implique
⇔,if and only if,si et seulement si
⊢,entails,entraîne
⊨,models,modèles
⊈,is not a subset of,n'est pas un sous-ensemble de
⊬,does not entail,ne découle pas
⊭,does not model,ne modélise pas
⊄,not subset,non sous-ensemble
⊅,not superset,non sur-ensemble
⋆,convolution,convolution
∘,composition,composition
↦,maps to,correspond à
↪,injective function,fonction injective
↠,surjective function,fonction surjective
↣,bijective function,fonction bijective
∪̸,disjoint from,disjoint de
⊂⊂,compact subset,sous-ensemble compact
ℱ{f},fourier transform,transformée de fourier
ℒ{f},laplace transform,transformée de laplace
𝓩{f},z-transform,transformée en z
℘,weierstrass p-function,fonction p de weierstrass
𝓒,continuous function set,ensemble des fonctions continues
𝓢,schwartz space,espace de schwartz
𝓓,test function space,espace des fonctions test
𝓓′,distributions (generalized functions),distributions (fonctions généralisées)
𝓛²,square integrable functions,fondamental de l'espace l au carré
"⟨f,g⟩",inner product on l squared,produit intérieur sur l au carré
ℒⁿ,lebesgue measure,mesure de lebesgue
∇·,divergence,divergence
∇×,curl,rotation
†,hermitian conjugate,conjugué hermitien
